City / Reported Area,June Taira Inquiries,June Taira Bookings,June Taira Conversion Rate,June All CS Inquiries,June All CS Bookings,June All CS Conversion Rate,July Taira Inquiries,July Taira Bookings,July Taira Conversion Rate,July All CS Inquiries,July All CS Bookings,July All CS Conversion Rate,June Total Inquiries,July Total Inquiries,Inquiry Change,Inquiry Growth Rate,June Total Bookings,July Total Bookings,Booking Change,Booking Growth Rate,June Gross Booking Amount,July Gross Booking Amount,Gross Amount Change
Addres Sa Rizal,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Adress,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Ahop,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Ako Ang Pupunta,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Albay Po,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Albay Po Sir,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Aliaga,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Ang Layo,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Ang Mahal Pla,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Anini-Y,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Antique Aq,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Anywhere In Thr Philippines,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Aparri,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Area,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Around Laguna,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Asayang,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Asingan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Aurora Province,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
B.E. Dujali,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Baganga,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Baguip City,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bais City,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Balingasag,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Balungao,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Banaue,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Banawe,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Baseco Pier,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Basilisa,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Basista,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bataan O Zambales Area,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bataan Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bataan Po Ako,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bataan Willing To Go If Pampanga Po Available,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Batanagas,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Batangas Papp,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Batangas Pier,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Batangas Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Batangas Province,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Batanggas,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Batasan Qc,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bato,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bats,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bats City,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bauang,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bauko,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,1,0,-1,-1.0,15711.1,0.0,-15711.1
Bautista,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bayawan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Baybay City,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bayugan City,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bcol,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Benito Soliven,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bf Paranaque,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bicol Area,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bicol Location,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bicol Po Cam Sur,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bikol Area Po Kasi Aaku,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bikol Po Aq.,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Binan City,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Binmaley,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bislig,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0,1,1,,0,1,1,,0.0,10320.6,10320.6
Bodiga,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bohol Area,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bohol Po,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bong Romano Zone 3 Ogbong Biga Catanduanes,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bosch Mangghan,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Buenavista,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bukacan,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bukidnon Po,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bukidnon Pp Kami,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bulacan Area,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bulacan Area Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bulacan Branch,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Bulacan Location,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Bulacan Sit,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Burgos,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Butuan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
C. Raymundo,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cab.N.E.,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Caba,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,1,0,-1,-1.0,33000.0,0.0,-33000.0
Cabadbaran,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cabagan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cabiao,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cagayan Valley Area,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cagayan Valley Loc Ko,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Calaca,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Calapan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Calbayog,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cam Norte,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cam.Sur,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Camarines,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Camarines Sur,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Camiling,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Camsur,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Candon City,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Canlubang,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Capoocan,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Carcar,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Carcar City,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cardona,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Carmen,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0,1,1,,0,1,1,,0.0,7200.0,7200.0
Carmona City,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Castillejos,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Catbalogan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Catbalogan City,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cauayan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cavite Area Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cavite Area Poh Ako,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cavite Loc,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cavite Locatiom,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cavite Location,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cavite Po,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cavite Store Location,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cdo,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cdoc,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cebu Province Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cebubor Bohol,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
City Of Ilagan,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
City Of San Fernando,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
City/Barangay,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Clark Freeport Zone,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,1,0,-1,-1.0,88289.75,0.0,-88289.75
Close Kau Pag Sunday Thank You...,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Cogeo,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Commonwealth Area,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Commonwealth Qc,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Complet Address Please,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Complete Loc Boss,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Cvte,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Daan Location,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Dalin Ko Po Sskyan Ko Jan Sa Loc.Nyo.Para Balancing,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Dasmarinas City,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
DasmariñAs,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Davao De Oro,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Davao Del Norte Po,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Digos,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Digos City,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Dilasag,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Dito Sa Probinsya,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Dto Sa Batangas,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Dumaguete,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0,1,1,,0,1,1,,0.0,61755.0,61755.0
Dyan,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Eastern Samar,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Echague,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
España,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Estancia,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Exact Location,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Exact Location Pls.,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Florida,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Florida Blanca,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Fort Magsaysay,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
From Mindanao,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Gamu,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Gattaran,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Gen Luis Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
General Emilio Aguinaldo,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Gerona,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Goa,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Gubat,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Guimaras Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Gumaca,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Himamaylan City,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Hm,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Hm 225/70/ R17,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Hm Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Hm. And Location,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Ibaan,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Ilagan City,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Ilocos Area,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Ilocos Norte Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Ilocos Sur Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Imus City,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Imus/Bacoor,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Infanta Quezon Po,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Inopacan,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,1,0,-1,-1.0,40000.0,0.0,-40000.0
Installation,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Iriga City,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Isabel,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Isabela Kc,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Isabela Po,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Island Municipalities,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Isulan,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Itogon,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Jaen,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Jala-Jala,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Jn Batangas,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Jose Panganiban,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Kabankalan City,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Kalibo Iloilo City,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Kalinga,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Kano,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Kapangan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Kawit Cavite,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Kayapa,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Kidapawan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Kitcharao,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
La Union Area,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Labangan,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Labo,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0,1,1,,0,1,1,,0.0,5697.5,5697.5
Laguna Area Po,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Laguna Location,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Laguna Po Kmi,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Lalamove,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
