City / Reported Area,June Taira Inquiries,June Taira Bookings,June Taira Conversion Rate,June All CS Inquiries,June All CS Bookings,June All CS Conversion Rate,July Taira Inquiries,July Taira Bookings,July Taira Conversion Rate,July All CS Inquiries,July All CS Bookings,July All CS Conversion Rate,June Total Inquiries,July Total Inquiries,Inquiry Change,Inquiry Growth Rate,June Total Bookings,July Total Bookings,Booking Change,Booking Growth Rate,June Gross Booking Amount,July Gross Booking Amount,Gross Amount Change
Binangonan,3,0,0.0,9,0,0.0,3,0,0.0,9,0,0.0,12,12,0,0.0,0,0,0,,0.0,0.0,0.0
Cabuyao,3,0,0.0,9,0,0.0,4,0,0.0,8,0,0.0,12,12,0,0.0,0,0,0,,0.0,0.0,0.0
Carmona,1,0,0.0,12,1,0.08333333333333333,5,0,0.0,6,0,0.0,13,11,-2,-0.15384615384615385,1,0,-1,-1.0,12973.75,0.0,-12973.75
Lucena City,4,0,0.0,7,0,0.0,7,0,0.0,6,0,0.0,11,13,2,0.18181818181818188,0,0,0,,0.0,0.0,0.0
San Juan,5,1,0.2,9,0,0.0,3,0,0.0,6,0,0.0,14,9,-5,-0.3571428571428571,1,0,-1,-1.0,4712.4,0.0,-4712.4
Santa Maria,5,0,0.0,10,1,0.1,2,0,0.0,5,0,0.0,15,7,-8,-0.5333333333333333,1,0,-1,-1.0,27431.6,0.0,-27431.6
Cabanatuan City,1,0,0.0,10,0,0.0,4,0,0.0,6,0,0.0,11,10,-1,-0.09090909090909094,0,0,0,,0.0,0.0,0.0
Mindanao,2,0,0.0,9,1,0.1111111111111111,2,0,0.0,8,0,0.0,11,10,-1,-0.09090909090909094,1,0,-1,-1.0,39050.6,0.0,-39050.6
Zamboanga City,3,0,0.0,12,0,0.0,2,0,0.0,3,0,0.0,15,5,-10,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Tanza,2,0,0.0,11,3,0.2727272727272727,4,0,0.0,2,0,0.0,13,6,-7,-0.5384615384615384,3,0,-3,-1.0,51075.8,0.0,-51075.8
Mabalacat,1,0,0.0,7,0,0.0,8,0,0.0,2,0,0.0,8,10,2,0.25,0,0,0,,0.0,0.0,0.0
Tuguegarao City,2,0,0.0,7,1,0.14285714285714285,6,0,0.0,3,0,0.0,9,9,0,0.0,1,0,-1,-1.0,43000.0,0.0,-43000.0
Dasmarinas,2,0,0.0,10,0,0.0,1,0,0.0,4,0,0.0,12,5,-7,-0.5833333333333333,0,0,0,,0.0,0.0,0.0
Metro Manila,1,0,0.0,6,0,0.0,4,0,0.0,6,0,0.0,7,10,3,0.4285714285714286,0,0,0,,0.0,0.0,0.0
General Santos City,0,0,0.0,7,0,0.0,1,0,0.0,7,0,0.0,7,8,1,0.1428571428571428,0,0,0,,0.0,0.0,0.0
Isabela,2,0,0.0,5,0,0.0,4,0,0.0,4,0,0.0,7,8,1,0.1428571428571428,0,0,0,,0.0,0.0,0.0
Naga City,1,0,0.0,5,0,0.0,5,1,0.2,4,0,0.0,6,9,3,0.5,0,1,1,,0.0,9400.0,9400.0
Olongapo City,3,1,0.3333333333333333,7,0,0.0,3,0,0.0,2,0,0.0,10,5,-5,-0.5,1,0,-1,-1.0,11402.8,0.0,-11402.8
Tarlac,1,0,0.0,8,0,0.0,1,0,0.0,5,0,0.0,9,6,-3,-0.33333333333333337,0,0,0,,0.0,0.0,0.0
Tanauan,1,0,0.0,8,0,0.0,1,0,0.0,4,0,0.0,9,5,-4,-0.4444444444444444,0,0,0,,0.0,0.0,0.0
Iligan City,1,0,0.0,7,0,0.0,2,0,0.0,3,0,0.0,8,5,-3,-0.375,0,0,0,,0.0,0.0,0.0
Rosario,1,0,0.0,5,0,0.0,3,0,0.0,4,0,0.0,6,7,1,0.16666666666666674,0,0,0,,0.0,0.0,0.0
La Union,1,0,0.0,4,0,0.0,0,0,0.0,7,0,0.0,5,7,2,0.3999999999999999,0,0,0,,0.0,0.0,0.0
