product_id,section_width,aspect_ratio,rim_diameter,size_display,is_light_truck,updated_at
12410,235,55,18,235/55 R18,false,2026-07-14T06:10:45
12411,235,55,18,235/55 R18,false,2026-07-14T06:10:45
12412,225,55,19,225/55 R19,false,2026-07-14T06:10:45
12413,235,50,20,235/50 R20,false,2026-07-14T06:10:45
12414,245,40,20,245/40 R20,false,2026-07-14T06:10:45
12415,245,45,20,245/45 R20,false,2026-07-14T06:10:45
12416,255,45,20,255/45 R20,false,2026-07-14T06:10:45
12417,175,65,14,175/65 R14,false,2026-07-14T06:10:45
12418,215,60,16,215/60 R16,false,2026-07-14T06:10:45
12419,235,60,18,235/60 R18,false,2026-07-14T06:10:45
12420,235,40,19,235/40 R19,false,2026-07-14T06:10:45
12421,235,35,19,235/35 R19,false,2026-07-14T06:10:45
12422,305,30,19,305/30 R19,false,2026-07-14T06:10:45
12423,245,45,20,245/45 R20,false,2026-07-14T06:10:45
12424,255,40,20,255/40 R20,false,2026-07-14T06:10:45
12425,255,45,20,255/45 R20,false,2026-07-14T06:10:45
12426,265,35,20,265/35 R20,false,2026-07-14T06:10:45
12427,275,45,20,275/45 R20,false,2026-07-14T06:10:45
12428,265,40,21,265/40 R21,false,2026-07-14T06:10:45
12429,255,45,19,255/45 R19,false,2026-07-14T06:10:45
12430,255,45,20,255/45 R20,false,2026-07-14T06:10:45
12431,265,50,20,265/50 R20,false,2026-07-14T06:10:45
12432,235,60,17,235/60 R17,false,2026-07-14T06:10:45
12433,195,60,16,195/60 R16,false,2026-07-14T06:10:45
12434,185,70,14,185/70 R14,false,2026-07-14T06:10:45
12440,265,60,18,265/60 R18,false,2026-07-14T06:10:45
12441,265,50,20,265/50 R20,false,2026-07-14T06:10:45
12442,195,50,15,195/50 R15,false,2026-07-14T06:10:45
12443,185,55,15,185/55 R15,false,2026-07-14T06:10:45
12444,195,55,15,195/55 R15,false,2026-07-14T06:10:45
12445,195,50,16,195/50 R16,false,2026-07-14T06:10:45
12448,215,45,17,215/45 R17,false,2026-07-14T06:10:45
12449,235,40,18,235/40 R18,false,2026-07-14T06:10:45
12450,225,45,18,225/45 R18,false,2026-07-14T06:10:45
12451,195,,14,,false,2026-07-14T06:10:45
12452,205,70,15,205/70 R15,false,2026-07-14T06:10:45
12453,215,70,15,215/70 R15,false,2026-07-14T06:10:45
12454,245,70,16,245/70 R16,false,2026-07-14T06:10:45
12455,265,70,16,265/70 R16,false,2026-07-14T06:10:45
12456,265,75,16,265/75 R16,false,2026-07-14T06:10:45
12458,285,70,17,285/70 R17,false,2026-07-14T06:10:45
12459,265,60,18,265/60 R18,false,2026-07-14T06:10:45
12460,275,65,18,275/65 R18,false,2026-07-14T06:10:45
12461,265,50,20,265/50 R20,false,2026-07-14T06:10:45
12462,275,55,20,275/55 R20,false,2026-07-14T06:10:45
12463,185,65,14,185/65 R14,false,2026-07-14T06:10:45
12464,195,55,15,195/55 R15,false,2026-07-14T06:10:45
12465,185,60,15,185/60 R15,false,2026-07-14T06:10:45
12466,195,60,15,195/60 R15,false,2026-07-14T06:10:45
12467,185,65,15,185/65 R15,false,2026-07-14T06:10:45
12468,185,55,16,185/55 R16,false,2026-07-14T06:10:45
12469,195,60,16,195/60 R16,false,2026-07-14T06:10:45
12470,215,50,17,215/50 R17,false,2026-07-14T06:10:45
12471,215,55,17,215/55 R17,false,2026-07-14T06:10:45
12472,225,55,17,225/55 R17,false,2026-07-14T06:10:45
12473,235,50,18,235/50 R18,false,2026-07-14T06:10:45
12475,185,55,16,185/55 R16,false,2026-07-14T06:10:45
12476,205,55,16,205/55 R16,false,2026-07-14T06:10:45
12477,215,55,16,215/55 R16,false,2026-07-14T06:10:45
12478,215,60,16,215/60 R16,false,2026-07-14T06:10:45
12479,205,65,16,205/65 R16,false,2026-07-14T06:10:45
12480,205,40,17,205/40 R17,false,2026-07-14T06:10:45
12481,235,45,17,235/45 R17,false,2026-07-14T06:10:45
12482,215,50,17,215/50 R17,false,2026-07-14T06:10:45
12483,225,50,17,225/50 R17,false,2026-07-14T06:10:45
12484,215,55,17,215/55 R17,false,2026-07-14T06:10:45
12485,225,40,18,225/40 R18,false,2026-07-14T06:10:45
12486,235,40,18,235/40 R18,false,2026-07-14T06:10:45
12487,225,45,18,225/45 R18,false,2026-07-14T06:10:45
12488,235,45,18,235/45 R18,false,2026-07-14T06:10:45
12489,235,50,18,235/50 R18,false,2026-07-14T06:10:45
12490,235,35,19,235/35 R19,false,2026-07-14T06:10:45
12491,245,35,19,245/35 R19,false,2026-07-14T06:10:45
12493,275,40,20,275/40 R20,false,2026-07-14T06:10:45
12494,245,45,20,245/45 R20,false,2026-07-14T06:10:45
12495,285,50,20,285/50 R20,false,2026-07-14T06:10:45
12496,165,65,13,165/65 R13,false,2026-07-14T06:10:45
12497,175,70,13,175/70 R13,false,2026-07-14T06:10:45
12498,165,60,14,165/60 R14,false,2026-07-14T06:10:45
12499,165,65,14,165/65 R14,false,2026-07-14T06:10:45
12500,175,65,14,175/65 R14,false,2026-07-14T06:10:45
12501,185,65,14,185/65 R14,false,2026-07-14T06:10:45
12503,185,70,14,185/70 R14,false,2026-07-14T06:10:45
12504,195,70,14,195/70 R14,false,2026-07-14T06:10:45
12505,185,55,15,185/55 R15,false,2026-07-14T06:10:45
12506,185,60,15,185/60 R15,false,2026-07-14T06:10:45
12507,195,60,15,195/60 R15,false,2026-07-14T06:10:45
12508,175,65,15,175/65 R15,false,2026-07-14T06:10:45
12509,185,65,15,185/65 R15,false,2026-07-14T06:10:45
12510,195,65,15,195/65 R15,false,2026-07-14T06:10:45
12511,205,65,15,205/65 R15,false,2026-07-14T06:10:45
12512,195,50,16,195/50 R16,false,2026-07-14T06:10:45
12513,165,,13,,false,2026-07-14T06:10:45
12514,185,,14,,false,2026-07-14T06:10:45
12515,195,,14,,false,2026-07-14T06:10:45
12516,195,70,15,195/70 R15,false,2026-07-14T06:10:45
12517,205,70,15,205/70 R15,false,2026-07-14T06:10:45
12518,195,,15,,false,2026-07-14T06:10:45
12519,235,75,15,235/75 R15,false,2026-07-14T06:10:45
12520,245,70,16,245/70 R16,false,2026-07-14T06:10:45
12521,265,70,16,265/70 R16,false,2026-07-14T06:10:45
12522,225,65,17,225/65 R17,false,2026-07-14T06:10:45
12524,235,55,18,235/55 R18,false,2026-07-14T06:10:45
12525,235,60,18,235/60 R18,false,2026-07-14T06:10:45
12526,265,60,18,265/60 R18,false,2026-07-14T06:10:45
12527,195,50,15,195/50 R15,false,2026-07-14T06:10:45
12528,225,50,15,225/50 R15,false,2026-07-14T06:10:45
12529,195,55,15,195/55 R15,false,2026-07-14T06:10:45
12530,275,40,18,275/40 R18,false,2026-07-14T06:10:45
12531,245,45,18,245/45 R18,false,2026-07-14T06:10:45
12532,285,45,18,285/45 R18,false,2026-07-14T06:10:45
